team_api_id,buildUpPlaySpeed,buildUpPlaySpeedClass,defencePressure,defencePressureClass
9930,60,Balanced,50,Medium
9930,52,Balanced,47,Medium
9930,47,Balanced,47,Medium
8485,70,Fast,60,Medium
8485,47,Balanced,47,Medium
8485,58,Balanced,40,Medium
8485,62,Balanced,42,Medium
8485,58,Balanced,41,Medium
8485,59,Balanced,49,Medium
8576,60,Balanced,30,Deep
8576,65,Balanced,45,Medium
8576,59,Balanced,38,Medium
8576,59,Balanced,38,Medium
8576,59,Balanced,38,Medium
8576,59,Balanced,38,Medium
8564,45,Balanced,30,Deep
8564,65,Balanced,50,Medium
8564,45,Balanced,45,Medium
8564,48,Balanced,48,Medium
8564,,Balanced,58,Medium
8564,48,Balanced,58,Medium
10215,30,Slow,30,Deep
10215,30,Slow,30,Deep
10215,45,Balanced,52,Medium
10215,45,Balanced,52,Medium
10215,52,Balanced,39,Medium
10215,53,Balanced,39,Medium
10217,30,Slow,30,Deep
10217,53,Balanced,46,Medium
10217,38,Balanced,50,Medium
10217,38,Balanced,50,Medium
10217,58,Balanced,57,Medium
10217,56,Balanced,40,Medium
8593,30,Slow,30,Deep
8593,40,Balanced,65,Medium
8593,31,Slow,68,High
8593,35,Balanced,68,High
8593,40,Balanced,64,Medium
8593,35,Balanced,64,Medium
9865,65,Balanced,70,High
9865,55,Balanced,58,Medium
9865,42,Balanced,37,Medium
9865,46,Balanced,37,Medium
9865,46,Balanced,37,Medium
9865,46,Balanced,37,Medium
8635,50,Balanced,70,High
8635,50,Balanced,70,High
8635,52,Balanced,45,Medium
8635,52,Balanced,60,Medium
8635,52,Balanced,60,Medium
8635,52,Balanced,53,Medium
8121,45,Balanced,30,Deep
8121,65,Balanced,45,Medium
8121,50,Balanced,44,Medium
8121,50,Balanced,44,Medium
8121,48,Balanced,44,Medium
8121,48,Balanced,44,Medium
8322,,Slow,65,Medium
8322,46,Balanced,47,Medium
108893,50,Balanced,30,Deep
108893,50,Balanced,25,Deep
108893,23,Slow,44,Medium
108893,41,Balanced,39,Medium
108893,39,Balanced,44,Medium
108893,56,Balanced,48,Medium
9912,40,Balanced,45,Medium
9912,46,Balanced,38,Medium
9912,62,Balanced,36,Medium
158085,69,Fast,35,Medium
158085,65,Balanced,37,Medium
9825,66,Balanced,30,Deep
9825,75,Fast,50,Medium
9825,25,Slow,57,Medium
9825,30,Slow,64,Medium
9825,59,Balanced,51,Medium
9825,,Balanced,51,Medium
10252,70,Fast,30,Deep
10252,65,Balanced,35,Medium
10252,67,Fast,43,Medium
10252,63,Balanced,39,Medium
10252,66,Balanced,39,Medium
10252,63,Balanced,35,Medium
8524,35,Balanced,30,Deep
8524,65,Balanced,45,Medium
8524,40,Balanced,55,Medium
8524,64,Balanced,54,Medium
8524,64,Balanced,36,Medium
8524,64,Balanced,36,Medium
8315,60,Balanced,30,Deep
8315,70,Fast,48,Medium
8315,42,Balanced,37,Medium
8315,46,Balanced,37,Medium
8315,46,Balanced,37,Medium
8315,46,Balanced,49,Medium
9906,64,Balanced,70,High
9906,57,Balanced,58,Medium
9906,,Balanced,52,Medium
9906,47,Balanced,52,Medium
9906,47,Balanced,52,Medium
9906,57,Balanced,49,Medium
8406,45,Balanced,45,Medium
8406,68,Fast,59,Medium
8406,55,Balanced,47,Medium
8406,40,Balanced,33,Deep
8406,62,Balanced,47,Medium
8406,59,Balanced,34,Medium
8583,30,Slow,30,Deep
8583,35,Balanced,35,Medium
8583,64,Balanced,34,Medium
8583,64,Balanced,34,Medium
8583,64,Balanced,34,Medium
8583,64,Balanced,34,Medium
10229,55,Balanced,30,Deep
10229,45,Balanced,60,Medium
10229,46,Balanced,60,Medium
10229,62,Balanced,50,Medium
10229,52,Balanced,50,Medium
10229,50,Balanced,50,Medium
8634,42,Balanced,70,High
8634,43,Balanced,67,High
8634,,Slow,66,Medium
8634,35,Balanced,61,Medium
8634,35,Balanced,61,Medium
8634,36,Balanced,61,Medium
9976,30,Slow,40,Medium
9976,65,Balanced,55,Medium
9976,50,Balanced,45,Medium
9976,55,Balanced,49,Medium
9976,55,Balanced,49,Medium
9976,52,Balanced,50,Medium
9931,40,Balanced,60,Medium
9931,46,Balanced,38,Medium
9931,61,Balanced,47,Medium
9931,61,Balanced,47,Medium
9931,61,Balanced,47,Medium
9931,61,Balanced,47,Medium
8178,70,Fast,70,High
8178,67,Fast,57,Medium
8178,58,Balanced,50,Medium
8178,64,Balanced,58,Medium
8178,69,Fast,50,Medium
8178,73,Fast,61,Medium
9823,65,Balanced,70,High
9823,42,Balanced,39,Medium
9823,47,Balanced,49,Medium
9823,56,Balanced,52,Medium
9823,37,Balanced,61,Medium
9823,45,Balanced,72,High
9993,35,Balanced,70,High
9993,47,Balanced,33,Deep
9993,,Balanced,45,Medium
9993,47,Balanced,45,Medium
10211,48,Balanced,47,Medium
10211,39,Balanced,37,Medium
10211,39,Balanced,37,Medium
9807,30,Slow,30,Deep
9807,52,Balanced,38,Medium
9807,51,Balanced,38,Medium
6493,40,Balanced,45,Medium
6493,47,Balanced,32,Deep
9772,30,Slow,30,Deep
9772,65,Balanced,55,Medium
9772,55,Balanced,61,Medium
9772,65,Balanced,60,Medium
9772,70,Fast,60,Medium
9772,69,Fast,60,Medium
8658,70,Fast,70,High
8658,45,Balanced,30,Deep
8658,51,Balanced,42,Medium
8658,56,Balanced,42,Medium
8658,56,Balanced,42,Medium
8658,56,Balanced,42,Medium
8655,55,Balanced,45,Medium
8655,55,Balanced,45,Medium
8655,,Balanced,42,Medium
8655,44,Balanced,42,Medium
8655,44,Balanced,50,Medium
8655,60,Balanced,50,Medium
8483,70,Fast,70,High
8483,70,Fast,45,Medium
8483,45,Balanced,49,Medium
8483,45,Balanced,49,Medium
8483,67,Fast,39,Medium
8483,62,Balanced,39,Medium
8613,47,Balanced,32,Deep
9911,50,Balanced,40,Medium
9911,55,Balanced,48,Medium
9911,40,Balanced,34,Medium
9911,40,Balanced,40,Medium
9911,38,Balanced,34,Medium
9911,69,Fast,58,Medium
9857,65,Balanced,55,Medium
9857,65,Balanced,30,Deep
9857,40,Balanced,35,Medium
9857,63,Balanced,43,Medium
9857,63,Balanced,28,Deep
9857,63,Balanced,30,Deep
8559,55,Balanced,35,Medium
8559,45,Balanced,40,Medium
8559,57,Balanced,48,Medium
8559,57,Balanced,39,Medium
8559,57,Balanced,39,Medium
8559,57,Balanced,39,Medium
9827,70,Fast,55,Medium
9827,50,Balanced,55,Medium
9827,49,Balanced,44,Medium
9827,49,Balanced,44,Medium
9827,38,Balanced,37,Medium
9827,51,Balanced,57,Medium
9789,70,Fast,54,Medium
9789,73,Fast,59,Medium
9789,71,Fast,58,Medium
9789,74,Fast,60,Medium
9789,76,Fast,60,Medium
9789,71,Fast,65,Medium
9788,65,Balanced,55,Medium
9788,63,Balanced,49,Medium
9788,57,Balanced,33,Deep
9788,76,Fast,33,Deep
9788,31,Slow,43,Medium
9788,31,Slow,41,Medium
4170,45,Balanced,70,High
4170,50,Balanced,35,Medium
4170,49,Balanced,45,Medium
8678,70,Fast,70,High
8678,51,Balanced,27,Deep
8678,46,Balanced,48,Medium
8678,39,Balanced,48,Medium
8678,47,Balanced,48,Medium
8678,47,Balanced,48,Medium
10264,30,Slow,30,Deep
10264,,Slow,40,Medium
10264,53,Balanced,23,Deep
10264,66,Balanced,25,Deep
10264,53,Balanced,25,Deep
10264,55,Balanced,25,Deep
9858,30,Slow,45,Medium
9858,30,Slow,45,Medium
9858,35,Balanced,35,Medium
9858,42,Balanced,41,Medium
9858,42,Balanced,41,Medium
9858,42,Balanced,41,Medium
8521,50,Balanced,70,High
8521,65,Balanced,55,Medium
8521,64,Balanced,44,Medium
8521,59,Balanced,44,Medium
8521,59,Balanced,44,Medium
8521,59,Balanced,44,Medium
8191,70,Fast,65,Medium
8191,36,Balanced,24,Deep
8191,48,Balanced,52,Medium
8191,54,Balanced,48,Medium
8191,48,Balanced,54,Medium
8191,54,Balanced,63,Medium
7819,65,Balanced,70,High
7819,65,Balanced,55,Medium
7819,48,Balanced,47,Medium
7819,48,Balanced,47,Medium
7819,62,Balanced,43,Medium
7819,62,Balanced,43,Medium
8529,40,Balanced,40,Medium
8529,65,Balanced,45,Medium
8529,40,Balanced,45,Medium
8529,63,Balanced,46,Medium
8529,63,Balanced,37,Medium
8529,67,Fast,65,Medium
7788,45,Balanced,42,Medium
7788,,Balanced,42,Medium
8344,65,Balanced,70,High
8344,67,Fast,46,Medium
8344,60,Balanced,47,Medium
8344,60,Balanced,47,Medium
8344,60,Balanced,33,Deep
8344,60,Balanced,33,Deep
208931,32,Slow,46,Medium
208931,80,Fast,25,Deep
8530,35,Balanced,35,Medium
8530,65,Balanced,35,Medium
8530,40,Balanced,25,Deep
8530,67,Fast,37,Medium
8530,75,Fast,28,Deep
8530,70,Fast,31,Deep
9910,35,Balanced,35,Medium
9910,43,Balanced,40,Medium
9910,53,Balanced,42,Medium
9910,53,balanced,42,Medium
9910,53,Balanced,42,Medium
9910,55,Balanced,55,Medium
9925,70,fast,60,Medium
9925,54,Balanced,46,Medium
9925,70,Fast,50,Medium
9925,50,Balanced,55,Medium
9925,70,Fast,51,Medium
9925,54,Balanced,58,Medium
9984,,Balanced,65,Medium
9984,50,Balanced,60,Medium
9984,68,Fast,59,Medium
9984,53,Balanced,59,Medium
9984,53,Balanced,59,Medium
9984,53,Balanced,59,Medium
9880,30,Slow,50,Medium
9880,50,BalanceD,35,Medium
9880,60,Balanced,35,Medium
9880,73,Fast,39,Medium
9880,73,Fast,39,Medium
9880,66,Balanced,39,Medium
8455,70,Fast,30,Deep
8455,60,Balanced,35,Medium
8455,60,Balanced,60,Medium
8455,46,Balanced,42,Medium
8455,67,Fast,39,Medium
8455,67,Fast,39,Medium
8533,45,Balanced,30,Deep
8533,45,Balanced,36,Medium
8533,60,Balanced,25,Deep
8533,66,Balanced,26,Deep
8533,66,Balanced,46,Medium
8533,66,Balanced,46,Medium
8342,35,Balanced,60,Medium
8342,67,Fast,57,Medium
8342,64,Balanced,60,Medium
8342,45,Balanced,43,Medium
8342,42,Balanced,51,Medium
8342,42,Balanced,51,Medium
7869,30,slow,35,Medium
7869,39,Balanced,40,Medium
7869,40,Balanced,36,Medium
7869,40,Balanced,36,Medium
7869,40,Balanced,36,Medium
7869,53,Balanced,38,Medium
2186,30,Slow,70,High
2186,46,Balanced,48,Medium
2186,57,Balanced,59,Medium
2186,37,Balanced,59,Medium
2186,37,Balanced,59,Medium
9826,70,Fast,65,Medium
9826,53,Balanced,48,Medium
9826,43,Balanced,44,Medium
9826,52,Balanced,36,Medium
9826,61,Balanced,36,Medium
9826,61,Balanced,36,Medium
8262,59,Balanced,32,Deep
8526,30,Slow,42,Medium
8526,37,Balanced,52,Medium
9783,30,Slow,35,Medium
9783,56,Balanced,38,Medium
9783,56,Balanced,45,Medium
9783,56,Balanced,45,Medium
9783,56,Balanced,45,Medium
9783,53,Balanced,45,Medium
9836,55,Balanced,30,Deep
9836,65,Balanced,35,Medium
9836,51,Balanced,45,Medium
9836,51,Balanced,45,Medium
9836,51,Balanced,45,Medium
9836,51,Balanced,45,Medium
8284,50,Balanced,48,Medium
8284,47,Balanced,50,Medium
9938,70,Fast,60,Medium
9938,68,Fast,57,Medium
9938,60,Balanced,40,Medium
9938,53,Balanced,41,Medium
9938,60,Balanced,41,Medium
9938,60,Balanced,48,Medium
8457,55,Balanced,42,Medium
8372,62,Balanced,37,Medium
8372,62,Balanced,37,Medium
9776,64,Balanced,54,Medium
9776,68,Fast,57,Medium
9776,61,Balanced,30,Deep
9776,66,Balanced,57,Medium
9810,60,Balanced,65,Medium
9810,52,Balanced,48,Medium
9810,38,Balanced,46,Medium
9810,41,Balanced,46,Medium
9810,63,Balanced,43,Medium
9810,51,Balanced,48,Medium
10268,30,Slow,50,Medium
10268,43,Balanced,40,Medium
10268,55,Balanced,49,Medium
10268,55,Balanced,49,Medium
10268,55,Balanced,49,Medium
10268,51,Balanced,49,Medium
8534,30,Slow,30,Deep
8534,50,Balanced,45,Medium
8534,50,Balanced,35,Medium
8534,51,Balanced,39,Medium
8534,63,Balanced,53,Medium
8534,66,Balanced,46,Medium
8398,45,Balanced,68,High
8398,64,Balanced,58,Medium
8398,50,Balanced,57,Medium
8398,50,Balanced,57,Medium
8398,39,Balanced,47,Medium
8558,55,Balanced,70,High
8558,68,Fast,51,Medium
8558,46,Balanced,37,Medium
8558,50,Balanced,37,Medium
8558,50,Balanced,37,Medium
8558,50,Balanced,37,Medium
7842,66,Balanced,46,Medium
7842,66,Balanced,46,Medium
7842,59,Balanced,46,Medium
6351,50,Balanced,50,Medium
8668,60,Balanced,40,Medium
8668,60,Balanced,55,Medium
8668,56,Balanced,50,Medium
8668,58,Balanced,41,Medium
8668,61,Balanced,52,Medium
8668,43,Balanced,52,Medium
4087,35,Balanced,45,Medium
4087,53,Balanced,47,Medium
4087,53,Balanced,47,Medium
4087,61,Balanced,47,Medium
4087,58,Balanced,.,Medium
10218,73,Fast,25,Deep
10218,47,Balanced,23,Deep
10218,53,Balanced,29,Deep
8596,70,Fast,60,Medium
8722,55,Balanced,45,Medium
8722,58,Balanced,40,Medium
8722,53,Balanced,43,Medium
8722,60,Balanced,43,Medium
8722,59,Balanced,57,Medium
8722,59,Balanced,42,Medium
6631,39,Balanced,51,Medium
8674,41,Balanced,30,Deep
8674,51,Balanced,43,Medium
8674,44,Balanced,49,Medium
8674,44,Balanced,49,Medium
8674,48,Balanced,49,Medium
8674,55,Balanced,49,Medium
9773,30,Slow,30,Deep
9773,50,Balanced,55,Medium
9773,52,Balanced,61,Medium
9773,52,Balanced,.,Medium
9773,52,Balanced,58,Medium
9773,70,Fast,58,Medium
9908,45,Balanced,30,Deep
9908,66,Balanced,34,Medium
9908,47,Balanced,45,Medium
9908,47,Balanced,45,Medium
9908,50,Balanced,45,Medium
9908,50,Balanced,54,Medium
9824,53,Balanced,42,Medium
10243,45,Balanced,50,Medium
10243,48,Balanced,54,Medium
10243,62,Balanced,47,Medium
10243,62,Balanced,47,Medium
10243,62,Balanced,47,Medium
10243,62,Balanced,47,Medium
10235,30,Slow,30,Deep
10235,47,Balanced,48,Medium
10235,38,Balanced,43,Medium
10235,44,Balanced,43,Medium
10235,54,Balanced,43,Medium
10235,50,Balanced,43,Medium
8535,67,Fast,45,Medium
8535,49,Balanced,45,Medium
8535,45,Balanced,45,Medium
8535,53,Balanced,47,Medium
8535,34,Balanced,58,Medium
8535,34,Balanced,58,Medium
8194,65,Balanced,45,Medium
8194,51,Balanced,46,Medium
8194,67,Fast,56,Medium
8194,41,Balanced,24,Deep
8194,72,Fast,47,Medium
8194,47,Balanced,56,Medium
8358,50,Balanced,55,Medium
8358,50,Balanced,41,Medium
8358,52,Balanced,30,Deep
8358,59,Balanced,53,Medium
8358,39,Balanced,59,Medium
8358,59,Balanced,53,Medium
9891,30,Slow,-,Deep
9891,70,Fast,61,Medium
9891,63,Balanced,55,Medium
9879,60,Balanced,40,Medium
9879,50,Balanced,45,Medium
9879,48,Balanced,38,Medium
9879,52,Balanced,39,Medium
9879,52,Balanced,29,Deep
9879,52,Balanced,29,Deep
9987,45,Balanced,70,High
9987,66,Balanced,48,Medium
9987,53,Balanced,47,Medium
9987,58,Balanced,47,Medium
9987,58,Balanced,47,Medium
9987,58,Balanced,36,Medium
10233,70,Fast,40,Medium
10233,65,Balanced,54,Medium
10233,50,Balanced,45,Medium
10233,64,Balanced,46,Medium
10233,64,Balanced,23,Deep
10233,64,Balanced,27,Deep
9991,70,Fast,45,Medium
9991,55,Balanced,61,Medium
9991,50,Balanced,48,Medium
9991,50,Balanced,50,Medium
9991,50,Balanced,55,Medium
9991,50,Balanced,49,Medium
8305,30,Slow,40,Medium
8305,54,Balanced,59,Medium
8305,25,Slow,49,Medium
8305,29,Slow,49,Medium
8305,35,Balanced,49,Medium
8305,34,Balanced,43,Medium
6391,61,Balanced,47,Medium
6391,48,Balanced,42,Medium
9764,46,Balanced,39,Medium
9764,46,Balanced,39,Medium
9764,65,Balanced,39,Medium
9764,68,Fast,39,Medium
8569,30,Slow,65,Medium
8569,47,Balanced,48,Medium
8569,52,Balanced,47,Medium
8569,52,Balanced,47,Medium
8569,52,Balanced,47,Medium
6433,55,Balanced,43,Medium
6433,58,Balanced,43,Medium
8019,41,Balanced,52,Medium
8020,30,Slow,60,Medium
8020,46,Balanced,53,Medium
7878,53,Balanced,54,Medium
7878,48,Balanced,49,Medium
7878,52,Balanced,49,Medium
7878,52,Balanced,49,Medium
7878,57,Balanced,48,Medium
9956,30,Slow,40,Medium
9956,67,Fast,43,Medium
9956,50,Balanced,36,Medium
9956,50,Balanced,36,Medium
9956,50,Balanced,36,Medium
9956,50,Balanced,36,Medium
9855,70,Fast,70,High
9855,50,Balanced,45,Medium
8357,55,Balanced,40,Medium
8357,59,Balanced,59,Medium
8357,68,Fast,48,Medium
8357,57,Balanced,36,Medium
8357,66,Balanced,49,Medium
8357,54,Balanced,48,Medium
9747,35,Balanced,30,Deep
9747,52,Balanced,33,Deep
9747,52,Balanced,46,Medium
9747,63,Balanced,43,Medium
9747,63,Balanced,49,Medium
9790,70,Fast,70,High
9790,52,Balanced,60,Medium
9790,46,Balanced,55,Medium
9790,34,Balanced,45,Medium
9790,45,Balanced,45,Medium
9790,42,Balanced,44,Medium
8429,70,Fast,60,Medium
8429,66,Balanced,46,Medium
8429,48,Balanced,55,Medium
9904,55,Balanced,70,High
9904,55,Balanced,39,Medium
9904,65,Balanced,39,Medium
9904,78,Fast,39,Medium
9904,48,Balanced,37,Medium
9904,48,Balanced,35,Medium
9860,70,Fast,-,Medium
9860,66,Balanced,56,Medium
9860,55,Balanced,50,Medium
9860,52,Balanced,52,Medium
9860,55,Balanced,49,Medium
9791,30,Slow,30,Deep
9791,69,Fast,36,Medium
9791,43,Balanced,33,Deep
9791,39,Balanced,47,Medium
9791,46,Balanced,60,Medium
9791,50,Balanced,60,Medium
10278,40,Balanced,35,Medium
10278,54,Balanced,48,Medium
10278,53,Balanced,50,Medium
10278,53,Balanced,50,Medium
10278,53,Balanced,50,Medium
8177,60,Balanced,55,Medium
8177,59,Balanced,50,Medium
8177,48,Balanced,50,Medium
8177,40,Balanced,50,Medium
8177,68,Fast,41,Medium
8177,47,Balanced,50,
10251,70,Fast,60,Medium
10251,48,Balanced,47,Medium
10251,55,Balanced,42,Medium
10251,60,Balanced,47,Medium
10251,55,Balanced,43,Medium
8226,70,Fast,65,Medium
8226,75,Fast,68,High
8226,61,Balanced,47,Medium
8226,32,Slow,-,Medium
8226,68,Fast,56,Medium
8226,69,Fast,63,Medium
8667,65,Balanced,70,High
8667,49,Balanced,46,Medium
8667,61,Balanced,38,Medium
8667,63,Balanced,34,Medium
8667,56,Balanced,38,Medium
8667,56,Balanced,38,Medium
8234,47,Balanced,37,Medium
8234,55,Balanced,33,Deep
8234,55,Balanced,33,Deep
8234,54,Balanced,42,Medium
8234,55,Balanced,37,
8636,55,Balanced,50,Medium
8636,55,Balanced,50,Medium
8636,45,Balanced,35,Medium
8636,67,Fast,36,Medium
8636,67,Fast,23,Deep
8636,58,Balanced,47,Medium
8066,36,Balanced,37,Medium
8066,61,Balanced,40,Medium
8066,35,Balanced,47,Medium
8066,61,Balanced,43,Medium
8066,48,Balanced,44,Medium
1957,30,Slow,70,High
1957,33,Slow,32,Deep
1957,58,Balanced,40,Medium
1957,58,Balanced,40,Medium
1957,38,Balanced,57,Medium
1957,66,Balanced,57,Medium
9885,45,Balanced,50,Medium
9885,65,Balanced,55,Medium
9885,50,Balanced,35,Medium
9885,39,Balanced,66,Medium
9885,26,Slow,23,Deep
9885,50,Balanced,35,Medium
8350,45,Balanced,70,High
8350,48,Balanced,38,Medium
8350,38,Balanced,37,Medium
8350,61,Balanced,48,Medium
8350,66,Balanced,47,Medium
8350,49,Balanced,41,Medium
8295,70,Fast,65,Medium
8295,53,Balanced,52,Medium
8295,54,Balanced,34,Medium
8295,56,Balanced,32,Deep
8295,54,Balanced,34,Medium
8597,70,Fast,60,Medium
8597,36,Balanced,48,Medium
8597,56,Balanced,43,Medium
8597,53,Balanced,47,Medium
8597,56,Balanced,44,Medium
8597,50,Balanced,46,Medium
8245,30,Slow,50,Medium
8245,67,Fast,57,Medium
8245,75,Fast,58,Medium
8245,70,Fast,58,Medium
8245,73,Fast,30,Deep
8245,59,Balanced,30,Deep
8571,50,Balanced,60,Medium
8571,38,Balanced,34,Medium
8571,31,Slow,46,Medium
8571,42,Balanced,46,Medium
8571,42,Balanced,46,Medium
8571,42,Balanced,46,Medium
8203,65,Balanced,60,Medium
8203,67,Fast,48,Medium
8203,52,Balanced,52,Medium
8203,52,Balanced,42,Medium
8203,52,Balanced,42,Medium
8203,52,Balanced,42,Medium
8306,30,Slow,35,Medium
8306,54,Balanced,48,Medium
8306,48,Balanced,53,Medium
8306,48,Balanced,53,Medium
8306,48,Balanced,53,Medium
8306,48,Balanced,53,Medium
7730,30,Slow,55,Medium
7730,37,Balanced,43,Medium
7730,51,Balanced,43,Medium
7730,37,Balanced,46,Medium
8543,60,Balanced,55,
8543,60,Balanced,45,Medium
8543,45,Balanced,35,Medium
8543,51,Balanced,59,Medium
8543,49,Balanced,59,Medium
8543,68,Fast,59,Medium
9746,55,Balanced,30,Deep
9746,50,Balanced,45,Medium
9746,46,Balanced,47,Medium
9746,46,Balanced,47,Medium
9746,46,Balanced,47,Medium
9746,46,Balanced,47,medium
8682,70,Fast,70,high
8682,65,Balanced,60,Medium
8682,58,Balanced,47,Medium
8682,58,Balanced,47,Medium
9888,40,Balanced,30,Deep
9888,50,Balanced,30,Deep
9888,45,Balanced,35,Medium
2182,40,Balanced,60,Medium
2182,64,Balanced,59,Medium
2182,67,Fast,47,Medium
2182,67,Fast,47,Medium
2182,67,Fast,47,Medium
2182,57,Balanced,50,Medium
8030,30,Slow,70,High
8030,63,Balanced,46,Medium
8030,44,Balanced,49,Medium
8030,44,Balanced,49,Medium
8030,62,Balanced,37,Medium
8030,62,Balanced,51,Medium
8673,30,Slow,65,Medium
8673,67,Fast,59,Medium
8673,69,Fast,59,Medium
8673,69,Fast,59,Medium
8673,54,Balanced,47,Medium
8673,54,Balanced,50,Medium
8197,70,Fast,70,High
8197,36,Balanced,51,Medium
8197,45,Balanced,48,Medium
8197,45,Balanced,48,Medium
8197,63,Balanced,58,Medium
8197,63,Balanced,58,Medium
6421,30,Slow,30,deep
8588,30,Slow,70,High
8588,65,Balanced,45,Medium
8588,64,Balanced,46,Medium
8588,64,Balanced,42,Medium
8588,64,Balanced,46,Medium
8588,64,Balanced,46,Medium
8581,30,Slow,30,Deep
8581,68,Fast,37,Medium
8581,53,Balanced,47,Medium
8581,57,Balanced,47,Medium
8581,57,Balanced,47,Medium
